"cellID","District","DistrictID","Ward","WardID","Village","VillageID","PA","Urban"
1,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
2,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
3,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
4,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
5,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
6,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
7,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
8,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
9,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
10,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
11,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
12,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
13,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
14,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
15,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
16,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
17,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
18,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
19,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
20,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
21,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
22,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
23,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
24,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
25,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
26,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
27,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
28,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
29,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
30,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
31,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
32,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
33,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
34,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
35,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
36,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
37,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
38,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
39,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
40,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
41,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
42,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
43,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
44,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
45,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
46,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
47,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
48,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
49,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
50,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
51,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
52,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
53,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
54,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
55,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
56,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
57,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
58,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
59,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
60,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
61,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
62,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
63,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
64,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
65,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
66,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
67,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
68,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
69,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
70,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
71,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
72,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
73,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
74,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
75,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
76,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
77,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
78,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
79,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
80,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
81,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
82,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
83,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
84,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
85,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
86,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
87,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
88,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
89,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
90,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
91,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
92,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
93,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
94,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
95,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
96,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
97,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
98,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
99,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
100,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
101,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
102,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
103,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
104,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
105,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
106,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
107,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
108,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
109,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
110,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
111,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
112,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
113,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
114,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
115,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
116,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
117,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
118,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
119,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
120,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
121,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
122,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
123,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
124,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
125,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
126,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
127,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
128,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
129,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
130,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
131,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
132,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
133,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
134,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
135,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
136,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
137,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
138,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
139,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
140,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
141,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
142,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
143,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
144,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
145,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
146,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
147,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
148,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
149,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
150,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
151,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
152,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
153,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
154,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
155,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
156,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
157,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
158,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
159,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
160,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
161,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
162,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
163,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
164,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
165,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
166,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
167,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
168,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
169,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
170,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
171,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
172,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
173,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
174,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
175,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
176,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
177,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
178,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
179,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
180,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
181,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
182,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
183,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
184,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
185,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
186,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
187,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
188,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
189,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
190,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
191,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
192,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
193,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
194,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
195,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
196,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
197,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
198,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
199,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
200,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
201,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
202,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
203,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
204,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
205,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
206,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
207,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
208,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
209,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
210,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
211,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
212,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
213,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
214,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
215,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
216,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
217,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
218,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
219,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
220,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
221,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
222,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
223,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
224,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
225,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
226,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
227,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
228,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
229,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
230,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
231,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
232,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
233,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
234,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
235,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
236,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
237,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
238,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
239,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
240,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
241,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
242,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
243,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
244,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
245,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
246,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
247,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
248,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
249,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
250,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
251,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
252,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
253,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
254,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
255,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
256,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
257,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
258,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
259,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
260,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
261,"Morogoro",10,"Gwata",26,"Maseyu",1830,0,0
262,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
263,"Morogoro",10,"Gwata",26,"Gwataujembe",919,0,0
