"Date","Correct_Village","Correct_Ward","Correct_District","Correct_Region","Dogs.without.collars","Dogs.with.collars","month","year","DWV","DW","Category"
2017-01-10,"Kisiwani","Buguruni","Ilala","Dar-es-salaam",0,0,85,2017,"ilala_buguruni_kisiwani","ilala_buguruni","Urban"
2017-01-10,"Madenge","Buguruni","Ilala","Dar-es-salaam",0,0,85,2017,"ilala_buguruni_madenge","ilala_buguruni","Urban"
2017-01-13,"Lubakaya","Chanika","Ilala","Dar-es-salaam",0,2,85,2017,"ilala_chanika_lubakaya","ilala_chanika","Urban"
2017-01-13,"Lukooni","Chanika","Ilala","Dar-es-salaam",0,3,85,2017,"ilala_chanika_lukooni","ilala_chanika","Urban"
2017-01-13,"Nzasa","Chanika","Ilala","Dar-es-salaam",0,1,85,2017,"ilala_chanika_nzasa","ilala_chanika","Urban"
2017-01-13,"Tunguni","Chanika","Ilala","Dar-es-salaam",0,3,85,2017,"ilala_chanika_tunguni","ilala_chanika","Urban"
2017-01-12,"Vikongolo","Chanika","Ilala","Dar-es-salaam",0,1,85,2017,"ilala_chanika_vikongolo","ilala_chanika","Urban"
2017-01-13,"Yongwe","Chanika","Ilala","Dar-es-salaam",0,3,85,2017,"ilala_chanika_yongwe","ilala_chanika","Urban"
2017-01-13,"Zingiziwa","Chanika","Ilala","Dar-es-salaam",0,2,85,2017,"ilala_chanika_zingiziwa","ilala_chanika","Urban"
2017-01-13,"Gerezani Magharibi","Gerezani","Ilala","Dar-es-salaam",0,2,85,2017,"ilala_gerezani_gerezanimagharibi","ilala_gerezani","Urban"
2017-01-13,"Gongolamboto","Gongolamboto","Ilala","Dar-es-salaam",0,1,85,2017,"ilala_gongolamboto_gongolamboto","ilala_gongolamboto","Urban"
2017-01-13,"Guruka Kwalala","Gongolamboto","Ilala","Dar-es-salaam",0,2,85,2017,"ilala_gongolamboto_gurukakwalala","ilala_gongolamboto","Urban"
2017-01-13,"Ulongoni","Gongolamboto","Ilala","Dar-es-salaam",0,5,85,2017,"ilala_gongolamboto_ulongoni","ilala_gongolamboto","Urban"
2017-01-10,"Kasulu","Ilala","Ilala","Dar-es-salaam",3,2,85,2017,"ilala_ilala_kasulu","ilala_ilala","Urban"
2017-01-10,"Mafuriko","Ilala","Ilala","Dar-es-salaam",0,1,85,2017,"ilala_ilala_mafuriko","ilala_ilala","Urban"
2017-01-10,"Shariff Shamba","Ilala","Ilala","Dar-es-salaam",4,1,85,2017,"ilala_ilala_shariffshamba","ilala_ilala","Urban"
2017-01-14,"Kariakoo Magharibi","Kariakoo","Ilala","Dar-es-salaam",0,2,85,2017,"ilala_kariakoo_kariakoomagharibi","ilala_kariakoo","Urban"
2017-01-14,"Kariakoo Mashariki","Kariakoo","Ilala","Dar-es-salaam",0,0,85,2017,"ilala_kariakoo_kariakoomashariki","ilala_kariakoo","Urban"
2017-01-14,"Darajani","Kimanga","Ilala","Dar-es-salaam",5,2,85,2017,"ilala_kimanga_darajani","ilala_kimanga","Urban"
2017-01-14,"Kisukuru","Kimanga","Ilala","Dar-es-salaam",0,3,85,2017,"ilala_kimanga_kisukuru","ilala_kimanga","Urban"
2017-01-14,"Tembomgwaza","Kimanga","Ilala","Dar-es-salaam",2,1,85,2017,"ilala_kimanga_tembomgwaza","ilala_kimanga","Urban"
2017-01-11,"Bonyokwa","Kinyerezi","Ilala","Dar-es-salaam",0,0,85,2017,"ilala_kinyerezi_bonyokwa","ilala_kinyerezi","Urban"
2017-01-13,"Karakata","Kipawa","Ilala","Dar-es-salaam",0,3,85,2017,"ilala_kipawa_karakata","ilala_kipawa","Urban"
2017-01-13,"Kipunguni","Kipawa","Ilala","Dar-es-salaam",0,0,85,2017,"ilala_kipawa_kipunguni","ilala_kipawa","Urban"
2017-01-13,"Mogo","Kipawa","Ilala","Dar-es-salaam",3,1,85,2017,"ilala_kipawa_mogo","ilala_kipawa","Urban"
2017-01-11,"Kitunda kati","Kitunda","Ilala","Dar-es-salaam",3,1,85,2017,"ilala_kitunda_kitundakati","ilala_kitunda","Urban"
2017-01-11,"Mzinga","Kitunda","Ilala","Dar-es-salaam",6,4,85,2017,"ilala_kitunda_mzinga","ilala_kitunda","Urban"
2017-01-10,"Kivukoni","Kivukoni","Ilala","Dar-es-salaam",0,0,85,2017,"ilala_kivukoni_kivukoni","ilala_kivukoni","Urban"
2017-01-10,"Sea View","Kivukoni","Ilala","Dar-es-salaam",0,1,85,2017,"ilala_kivukoni_seaview","ilala_kivukoni","Urban"
