"DWV","DW","round","Category","Dogs.with.collars","Dogs.without.collars","month_vax","year_vax","Dogs_vax"
"ilala_buguruni_kisiwani","ilala_buguruni",5,"Urban",0,0,NA,NA,NA
"ilala_buguruni_madenge","ilala_buguruni",5,"Urban",0,0,NA,NA,NA
"ilala_chanika_lubakaya","ilala_chanika",5,"Urban",2,0,NA,NA,NA
"ilala_chanika_lukooni","ilala_chanika",5,"Urban",3,0,NA,NA,NA
"ilala_chanika_nzasa","ilala_chanika",5,"Urban",1,0,NA,NA,NA
"ilala_chanika_tunguni","ilala_chanika",5,"Urban",3,0,NA,NA,NA
"ilala_chanika_vikongolo","ilala_chanika",5,"Urban",1,0,NA,NA,NA
"ilala_chanika_yongwe","ilala_chanika",5,"Urban",3,0,NA,NA,NA
"ilala_chanika_zingiziwa","ilala_chanika",5,"Urban",2,0,85,2017,109
"ilala_gerezani_gerezanimagharibi","ilala_gerezani",5,"Urban",2,0,NA,NA,NA
"ilala_gongolamboto_gongolamboto","ilala_gongolamboto",5,"Urban",1,0,85,2017,85
"ilala_gongolamboto_gurukakwalala","ilala_gongolamboto",5,"Urban",2,0,NA,NA,NA
"ilala_gongolamboto_ulongoni","ilala_gongolamboto",5,"Urban",5,0,NA,NA,NA
"ilala_ilala_kasulu","ilala_ilala",5,"Urban",2,3,NA,NA,NA
"ilala_ilala_mafuriko","ilala_ilala",5,"Urban",1,0,NA,NA,NA
"ilala_ilala_shariffshamba","ilala_ilala",5,"Urban",1,4,NA,NA,NA
"ilala_kariakoo_kariakoomagharibi","ilala_kariakoo",5,"Urban",2,0,NA,NA,NA
"ilala_kariakoo_kariakoomashariki","ilala_kariakoo",5,"Urban",0,0,NA,NA,NA
"ilala_kimanga_darajani","ilala_kimanga",5,"Urban",2,5,NA,NA,NA
"ilala_kimanga_kisukuru","ilala_kimanga",5,"Urban",3,0,85,2017,248
"ilala_kimanga_tembomgwaza","ilala_kimanga",5,"Urban",1,2,NA,NA,NA
"ilala_kinyerezi_bonyokwa","ilala_kinyerezi",5,"Urban",0,0,85,2017,198
