"Correct_Village","Correct_Ward","Correct_District","Correct_Region","dateVaccination","Dogs"
"temeke_azimio_mjimpya","Azimio","Temeke","Dar-es-salaam",2010-04-17,20
"temeke_charambe_kilungule","Charambe","Temeke","Dar-es-salaam",2010-04-17,19
"temeke_kibada_kifurukwe","Kibada","Temeke","Dar-es-salaam",2010-04-17,6
"temeke_kibada_kiziza","Kibada","Temeke","Dar-es-salaam",2010-04-17,5
"temeke_kibada_uvumba","Kibada","Temeke","Dar-es-salaam",2010-04-17,4
"temeke_kigamboni_ferry","Kigamboni","Temeke","Dar-es-salaam",2010-04-17,45
"temeke_kisaraweii_vumilia","Kisarawe II","Temeke","Dar-es-salaam",2010-04-17,23
"temeke_makangarawe_makangarawe","Makangarawe","Temeke","Dar-es-salaam",2010-04-17,48
"temeke_mbagalakuu_mbagalakuu","Mbagala Kuu","Temeke","Dar-es-salaam",2010-04-17,38
"temeke_mianzini_majimatitua","Mianzini","Temeke","Dar-es-salaam",2010-04-17,23
"temeke_mjimwema_maweni","Mjimwema","Temeke","Dar-es-salaam",2010-04-17,24
"temeke_somangila_dege","Somangila","Temeke","Dar-es-salaam",2010-04-17,62
"temeke_temeke_temeke","Temeke","Temeke","Dar-es-salaam",2010-04-17,122
"temeke_toangoma_vikunai","Toangoma","Temeke","Dar-es-salaam",2010-04-17,28
"temeke_vijibweni_vijibweni","Vijibweni","Temeke","Dar-es-salaam",2010-04-17,33
"temeke_yombovituka_yombovituka","Yombo Vituka","Temeke","Dar-es-salaam",2010-04-17,88
"temeke_chamazi_mwembebamia","Chamazi","Temeke","Dar-es-salaam",2010-04-18,25
"temeke_charambe_kurasinimjimpya","Charambe","Temeke","Dar-es-salaam",2010-04-18,11
"temeke_kibada_kichangani","Kibada","Temeke","Dar-es-salaam",2010-04-18,15
"temeke_kibada_sokoni","Kibada","Temeke","Dar-es-salaam",2010-04-18,4
"temeke_kigamboni_tuamoyo","Kigamboni","Temeke","Dar-es-salaam",2010-04-18,51
"temeke_kisaraweii_mwasonga","Kisarawe II","Temeke","Dar-es-salaam",2010-04-18,11
"temeke_makangarawe_uwazi","Makangarawe","Temeke","Dar-es-salaam",2010-04-18,40
"temeke_mbagalakuu_kichemchem","Mbagala Kuu","Temeke","Dar-es-salaam",2010-04-18,32
"temeke_miburani_miburani","Miburani","Temeke","Dar-es-salaam",2010-04-18,23
"temeke_mjimwema_maweni","Mjimwema","Temeke","Dar-es-salaam",2010-04-18,14
"temeke_vijibweni_vijibweni","Vijibweni","Temeke","Dar-es-salaam",2010-04-18,44
"temeke_yombovituka_machimbo","Yombo Vituka","Temeke","Dar-es-salaam",2010-04-18,76
"temeke_yombovituka_yombovituka","Yombo Vituka","Temeke","Dar-es-salaam",2010-04-18,71
"temeke_chamazi_kiponza","Chamazi","Temeke","Dar-es-salaam",2010-04-19,21
"temeke_charambe_rangitatu","Charambe","Temeke","Dar-es-salaam",2010-04-19,6
"temeke_kiburugwa_kiburugwa","Kiburugwa","Temeke","Dar-es-salaam",2010-04-19,6
"temeke_kigamboni_kigamboni","Kigamboni","Temeke","Dar-es-salaam",2010-04-19,37
"temeke_kijichi_mgeninani","Kijichi","Temeke","Dar-es-salaam",2010-04-19,7
"temeke_kimbiji_kizitohuonjwa","Kimbiji","Temeke","Dar-es-salaam",2010-04-19,22
"temeke_kimbiji_mikenge","Kimbiji","Temeke","Dar-es-salaam",2010-04-19,25
"temeke_kisaraweii_mwaninga","Kisarawe II","Temeke","Dar-es-salaam",2010-04-19,14
"temeke_makangarawe_dovya","Makangarawe","Temeke","Dar-es-salaam",2010-04-19,38
"temeke_mianzini_kibondemajia","Mianzini","Temeke","Dar-es-salaam",2010-04-19,45
"temeke_somangila_mbwamaji","Somangila","Temeke","Dar-es-salaam",2010-04-19,67
"temeke_somangila_mwera","Somangila","Temeke","Dar-es-salaam",2010-04-19,67
"temeke_toangoma_masuliza","Toangoma","Temeke","Dar-es-salaam",2010-04-19,3
"temeke_vijibweni_kisiwani","Vijibweni","Temeke","Dar-es-salaam",2010-04-19,47
"temeke_yombovituka_sigara","Yombo Vituka","Temeke","Dar-es-salaam",2010-04-19,78
"temeke_charambe_nzasab","Charambe","Temeke","Dar-es-salaam",2010-04-20,9
"temeke_kimbiji_kwachale","Kimbiji","Temeke","Dar-es-salaam",2010-04-20,27
"temeke_kurasini_minazini","Kurasini","Temeke","Dar-es-salaam",2010-04-20,48
"temeke_kurasini_mivinjeni","Kurasini","Temeke","Dar-es-salaam",2010-04-20,46
"temeke_mianzini_machinjioni","Mianzini","Temeke","Dar-es-salaam",2010-04-20,23
"temeke_mianzini_mchikichini","Mianzini","Temeke","Dar-es-salaam",2010-04-20,10
"temeke_mjimwema_kibugumo","Mjimwema","Temeke","Dar-es-salaam",2010-04-20,23
"temeke_pembamnazi_kwamorris","Pemba Mnazi","Temeke","Dar-es-salaam",2010-04-20,19
"temeke_toangoma_goroka","Toangoma","Temeke","Dar-es-salaam",2010-04-20,15
"temeke_toangoma_mzinga","Toangoma","Temeke","Dar-es-salaam",2010-04-20,13
