"Correct_Village","DW","month","year","round","Dogs"
"temeke_azimio_mjimpya","temeke_azimio",4,2010,1,20
"temeke_chamazi_kiponza","temeke_chamazi",4,2010,1,21
"temeke_chamazi_kisewe","temeke_chamazi",4,2010,1,52
"temeke_chamazi_magengeni","temeke_chamazi",4,2010,1,20
"temeke_chamazi_mwembebamia","temeke_chamazi",4,2010,1,25
"temeke_charambe_kilungule","temeke_charambe",4,2010,1,19
"temeke_charambe_kurasinimjimpya","temeke_charambe",4,2010,1,11
"temeke_charambe_majimatitub","temeke_charambe",4,2010,1,12
"temeke_charambe_nzasab","temeke_charambe",4,2010,1,9
"temeke_charambe_rangitatu","temeke_charambe",4,2010,1,6
"temeke_kibada_kichangani","temeke_kibada",4,2010,1,15
"temeke_kibada_kifurukwe","temeke_kibada",4,2010,1,6
"temeke_kibada_kiziza","temeke_kibada",4,2010,1,5
"temeke_kibada_sokoni","temeke_kibada",4,2010,1,4
"temeke_kibada_uvumba","temeke_kibada",4,2010,1,4
"temeke_kiburugwa_kiburugwa","temeke_kiburugwa",4,2010,1,6
"temeke_kigamboni_ferry","temeke_kigamboni",4,2010,1,45
"temeke_kigamboni_kigamboni","temeke_kigamboni",4,2010,1,37
"temeke_kigamboni_tuamoyo","temeke_kigamboni",4,2010,1,51
"temeke_kijichi_mgeninani","temeke_kijichi",4,2010,1,7
"temeke_kijichi_misheni","temeke_kijichi",4,2010,1,8
"temeke_kimbiji_kizitohuonjwa","temeke_kimbiji",4,2010,1,22
"temeke_kimbiji_kwachale","temeke_kimbiji",4,2010,1,27
"temeke_kimbiji_mikenge","temeke_kimbiji",4,2010,1,25
"temeke_kisaraweii_lingato","temeke_kisaraweii",4,2010,1,23
"temeke_kisaraweii_mwaninga","temeke_kisaraweii",4,2010,1,14
"temeke_kisaraweii_mwasonga","temeke_kisaraweii",4,2010,1,11
"temeke_kisaraweii_vumilia","temeke_kisaraweii",4,2010,1,23
"temeke_kurasini_minazini","temeke_kurasini",4,2010,1,48
"temeke_kurasini_mivinjeni","temeke_kurasini",4,2010,1,46
"temeke_makangarawe_dovya","temeke_makangarawe",4,2010,1,38
"temeke_makangarawe_makangarawe","temeke_makangarawe",4,2010,1,48
"temeke_makangarawe_uwazi","temeke_makangarawe",4,2010,1,40
"temeke_mbagala_bughudadi","temeke_mbagala",4,2010,1,19
"temeke_mbagala_kizinga","temeke_mbagala",4,2010,1,23
"temeke_mbagala_mangaya","temeke_mbagala",4,2010,1,22
"temeke_mbagala_mbagala","temeke_mbagala",4,2010,1,42
"temeke_mbagalakuu_kichemchem","temeke_mbagalakuu",4,2010,1,32
"temeke_mbagalakuu_mbagalakuu","temeke_mbagalakuu",4,2010,1,38
"temeke_mianzini_kibondemajia","temeke_mianzini",4,2010,1,45
"temeke_mianzini_machinjioni","temeke_mianzini",4,2010,1,23
"temeke_mianzini_majimatitua","temeke_mianzini",4,2010,1,23
"temeke_mianzini_mchikichini","temeke_mianzini",4,2010,1,10
"temeke_mianzini_mianzini","temeke_mianzini",4,2010,1,24
"temeke_miburani_miburani","temeke_miburani",4,2010,1,23
"temeke_mjimwema_kibugumo","temeke_mjimwema",4,2010,1,23
"temeke_mjimwema_maweni","temeke_mjimwema",4,2010,1,38
"temeke_mjimwema_ungindoni","temeke_mjimwema",4,2010,1,38
"temeke_pembamnazi_chambewa","temeke_pembamnazi",4,2010,1,17
"temeke_pembamnazi_gulubwida","temeke_pembamnazi",4,2010,1,12
"temeke_pembamnazi_kibungo","temeke_pembamnazi",4,2010,1,15
"temeke_pembamnazi_kwamorris","temeke_pembamnazi",4,2010,1,19
"temeke_pembamnazi_punacentre","temeke_pembamnazi",4,2010,1,13
"temeke_pembamnazi_songani","temeke_pembamnazi",4,2010,1,22
"temeke_somangila_dege","temeke_somangila",4,2010,1,62
"temeke_somangila_kichangani","temeke_somangila",4,2010,1,55
"temeke_somangila_mbwamaji","temeke_somangila",4,2010,1,67
"temeke_somangila_minondo","temeke_somangila",4,2010,1,11
"temeke_somangila_mwanzomgumu","temeke_somangila",4,2010,1,62
"temeke_somangila_mwera","temeke_somangila",4,2010,1,67
"temeke_somangila_shirikisho","temeke_somangila",4,2010,1,58
"temeke_temeke_temeke","temeke_temeke",4,2010,1,122
"temeke_toangoma_goroka","temeke_toangoma",4,2010,1,15
