"DW","month","year","round","Dogs"
"temeke_azimio",4,2010,1,20
"temeke_chamazi",4,2010,1,118
"temeke_charambe",4,2010,1,57
"temeke_kibada",4,2010,1,34
"temeke_kiburugwa",4,2010,1,6
"temeke_kigamboni",4,2010,1,133
"temeke_kijichi",4,2010,1,15
"temeke_kimbiji",4,2010,1,74
"temeke_kisaraweii",4,2010,1,71
"temeke_kurasini",4,2010,1,94
"temeke_makangarawe",4,2010,1,126
"temeke_mbagala",4,2010,1,106
"temeke_mbagalakuu",4,2010,1,70
"temeke_mianzini",4,2010,1,125
"temeke_miburani",4,2010,1,23
"temeke_mjimwema",4,2010,1,99
"temeke_pembamnazi",4,2010,1,98
"temeke_somangila",4,2010,1,382
"temeke_temeke",4,2010,1,122
"temeke_toangoma",4,2010,1,103
"temeke_tungi",4,2010,1,42
"temeke_vijibweni",4,2010,1,154
"temeke_yombovituka",4,2010,1,397
"ulanga_chirombola",5,2010,1,67
"ulanga_euga",5,2010,1,35
"ulanga_ilonga",5,2010,1,54
"ulanga_iragua",5,2010,1,240
"ulanga_isongo",5,2010,1,260
"ulanga_itete",5,2010,1,250
"ulanga_kichangani",5,2010,1,129
"ulanga_lukande",5,2010,1,64
"ulanga_lupiro",5,2010,1,191
"ulanga_mahenge",5,2010,1,77
"ulanga_malinyi",5,2010,1,397
"ulanga_mbuga",5,2010,1,26
"ulanga_minepa",5,2010,1,280
"ulanga_msogezi",5,2010,1,208
"ulanga_mtimbira",5,2010,1,106
"ulanga_mwaya",5,2010,1,61
"ulanga_ruaha",5,2010,1,151
"ulanga_sali",5,2010,1,103
"ulanga_sofi",5,2010,1,204
"ulanga_usangule",5,2010,1,223
"ulanga_vigoi",5,2010,1,516
"kilombero_chisano",7,2010,1,64
"kilombero_chita",7,2010,1,226
"kilombero_idete",7,2010,1,378
"kilombero_ifakara",7,2010,1,222
"kilombero_kibaoni",7,2010,1,434
"kilombero_kiberege",7,2010,1,343
"kilombero_kidatu",7,2010,1,304
"kilombero_kisawasawa",7,2010,1,121
"kilombero_lumemo",7,2010,1,338
"kilombero_mangula",7,2010,1,210
"kilombero_masagati",7,2010,1,90
"kilombero_mbingu",7,2010,1,311
"kilombero_mchombe",7,2010,1,424
"kilombero_mkula",7,2010,1,94
"kilombero_mlimba",7,2010,1,759
"kilombero_mofu",7,2010,1,142
"kilombero_sanje",7,2010,1,82
"kilombero_uchindile",7,2010,1,217
"kilombero_utengule",7,2010,1,210
"morogoro_kibungojuu",7,2010,1,36
"morogoro_kidugalo",7,2010,1,57
"morogoro_kinole",7,2010,1,146
"morogoro_kisemu",7,2010,1,61
"morogoro_konde",7,2010,1,98
"morogoro_matuli",7,2010,1,251
"morogoro_mngazi",7,2010,1,51
"morogoro_mvuha",7,2010,1,38
"morogoro_ngerengere",7,2010,1,265
"morogoro_tawa",7,2010,1,110
"morogoro_tegetero",7,2010,1,7
"kibaha_bokomnemela",14,2011,1,87
"kibaha_dutumi",14,2011,1,116
"kibaha_gwata",14,2011,1,241
"kibaha_kikongo",14,2011,1,328
"kibaha_kilangalanga",14,2011,1,138
"kibaha_kwala",14,2011,1,210
"kibaha_magindu",14,2011,1,178
"kibaha_mlandizi",14,2011,1,274
"kibaha_ruvu",14,2011,1,79
"kibaha_soga",14,2011,1,115
"kibahaurban_kibaha",14,2011,1,104
"kibahaurban_kongowe",14,2011,1,122
"kibahaurban_mailimoja",14,2011,1,179
"kibahaurban_mbwawa",14,2011,1,100
"kibahaurban_misugusugu",14,2011,1,81
"kibahaurban_mkuza",14,2011,1,151
"kibahaurban_msangani",14,2011,1,37
"kibahaurban_pangani",14,2011,1,59
"kibahaurban_pichayandege",14,2011,1,119
"kibahaurban_tumbi",14,2011,1,202
"kibahaurban_visiga",14,2011,1,52
"kilwa_chumo",14,2011,1,40
"kilwa_kandawale",14,2011,1,31
"kilwa_kikole",14,2011,1,6
"kilwa_kinjumbi",14,2011,1,171
"kilwa_kipatimu",14,2011,1,38
"kilwa_kiranjeranje",14,2011,1,263
"kilwa_kivinjesingino",14,2011,1,120
"kilwa_lihimalyao",14,2011,1,46
"kilwa_likawage",14,2011,1,8
"kilwa_mandawa",14,2011,1,104
"kilwa_masoko",14,2011,1,75
"kilwa_miguruwe",14,2011,1,30
"kilwa_mingumbi",14,2011,1,44
"kilwa_miteja",14,2011,1,78
"kilwa_mitole",14,2011,1,3
"kilwa_nanjirinji",14,2011,1,28
"kilwa_njinjo",14,2011,1,37
"kilwa_pandemikoma",14,2011,1,99
"kilwa_tingi",14,2011,1,51
