"villID","cellID"
3,814
14,1086
15,1368
17,33042
21,1181
22,32314
27,30487
35,1466
37,1368
39,1671
45,908
47,1567
50,1187
51,33215
55,30487
56,1185
64,900
69,36681
70,1087
77,33220
82,36680
86,992
87,1186
89,33042
93,1185
97,1180
103,1773
107,1085
112,993
120,28615
121,1378
129,33220
131,1581
135,32694
139,1185
142,1091
144,33831
148,1185
156,1091
158,1086
159,1186
166,36792
168,33830
171,37462
177,36680
178,1772
180,1085
193,36680
197,1581
198,1185
199,1185
202,33392
203,1186
205,1091
209,1274
211,1467
218,16981
234,1185
236,33831
250,992
252,1368
258,1092
259,30487
263,1187
265,1185
270,1085
273,33220
275,34000
279,36792
285,1092
294,1086
301,8305
306,1181
316,1368
322,33831
324,1090
327,1185
331,1091
336,1568
344,30487
353,33042
364,36558
367,33043
371,1275
372,1179
382,36682
386,1091
393,1671
402,1479
404,1179
405,1092
410,36681
415,1185
419,1569
420,30486
424,33392
430,1465
431,33216
434,1469
439,30487
443,996
447,33042
452,30487
457,1366
461,28615
467,1273
469,1666
471,993
477,998
492,30963
498,36680
499,36701
500,1179
501,991
507,1178
508,1466
509,1091
515,1179
519,1090
521,1086
522,1185
530,1175
534,1093
535,30486
543,33393
545,1465
555,1087
556,1186
557,1461
559,991
561,1090
565,33220
568,698
574,30486
577,1581
579,28783
585,1090
586,33041
589,1187
600,1976
604,1185
608,1187
609,1186
611,1569
623,1185
627,1185
628,1671
630,994
631,1185
636,1181
637,1772
638,1086
645,30487
648,1090
650,1478
658,1083
659,1091
663,28782
664,1673
665,1091
671,1085
679,1185
680,1185
684,1083
686,1092
687,1280
698,34000
710,33831
712,1280
715,16951
716,992
717,1179
718,1466
721,1187
727,1091
734,1368
737,1467
746,724
748,1181
750,30486
753,1086
757,33043
760,1189
761,1090
763,1091
764,30487
768,1275
773,1185
776,33039
779,1772
786,1185
788,392
791,1185
793,1275
799,34001
800,1180
807,1185
812,1275
817,1581
821,33221
828,33831
830,1185
839,1187
842,37494
848,2383
850,33041
854,870
859,30487
862,1092
869,904
870,1185
871,33220
884,1185
889,1185
891,908
893,1185
896,30487
897,30487
902,6697
903,33219
904,1185
907,1480
908,1085
911,1085
913,1092
917,1187
918,1186
922,1186
923,32657
927,36793
929,33220
934,991
935,1368
939,1185
940,1280
944,1092
948,1568
961,33219
967,1183
969,1082
974,808
976,1091
977,1271
986,992
987,1084
988,1090
990,28782
991,37466
1001,1478
1004,1190
1010,1179
1012,1466
1014,997
1017,1280
1019,1090
1020,1280
1025,1181
1027,30327
1029,1091
1032,1185
1033,33043
1041,33217
1043,1464
1045,993
1050,35444
1054,1273
1057,30487
1060,32621
1064,1465
1067,30487
1072,33042
1076,1185
1078,1274
1081,1581
1084,2076
1092,33219
1093,1092
1099,1091
1101,1090
1108,33043
1110,1569
1111,1185
1113,1370
1116,33220
1121,1092
1125,1466
1132,1568
1134,1181
1137,808
1154,1085
1155,1185
1157,33220
1158,30486
1165,33043
1168,30487
1172,1185
1189,34805
1197,1085
1205,1186
1212,1186
1213,2075
1215,1179
1222,34001
1225,1084
1227,1092
1228,1670
1231,1578
1236,33043
1237,36679
1239,1185
1241,34000
1247,1573
1249,36680
1261,1367
1270,1185
1289,1090
1294,1180
1298,1002
1309,1186
1315,1186
1321,1186
1326,1466
1333,30487
1341,30647
