"Kinondoni",0.2601,0.4883,0.6049,0.3909,0.4004
"Temeke",0.2821,0.3869,0.2528,0.2779,0.3318
"Ilala",0.217,0.1868,0.454,0.3577,0.3623
"Morogoro Urban",0.1657,0.3196,0.4786,0.5206,0.3828
"Morogoro",0.3389,0.4393,0.259,0.4626,0.4727
"Ulanga",0.1974,0.4557,0.3174,0.506,0.5135
"Kilombero",0.1907,0.328,0.1563,0.4953,0.4077
"Masasi",0.2923,0.2775,0.3403,0.3451,0.2748
"Masasi Township Authority",0.0497,0.2321,0.3955,0.2554,0.1862
"Mtwara Rural",0.1445,0.2562,0.2543,0.3366,0.2671
"Mtwara Urban",0.3495,0.2406,0.3377,0.3259,0.3857
"Newala",0.2423,0.2656,0.3903,0.2223,0.1961
"Tandahimba",0.2276,0.237,0.3098,0.3527,0.3193
"Nanyumbu",0.2106,0.248,0.4323,0.4301,0.4017
"Lindi Rural",0.2284,0.3124,0.2184,0.3379,0.3304
"Lindi Urban",0.608,0.5238,0.4887,0.5767,0.4792
"Kilwa",0.2363,0.3594,0.3896,0.3815,0.4543
"Liwale",0.1311,0.1849,0.1529,0.2653,0.1956
"Ruangwa",0.2671,0.2734,0.2847,0.456,0.5417
"Nachingwea",0.3417,0.4671,0.5319,0.549,0.446
"Mkuranga",0.5362,0.2738,0.3556,0.3423,0.4397
"Rufiji",0.3331,0.3269,0.3132,0.2706,0.3668
"Kisarawe",0.3382,0.3103,0.378,0.4594,0.5229
"Kibaha",0.1582,0.4996,0.4632,0.486,0.4651
"Kibaha Urban",0.2258,0.3912,0.589,0.5438,0.5281
