Region,District,Ward,Village,team_leader,dateVaccination,dateVaccinati,Dogs,Cats,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Kaskazini Pemba,Micheweni,Kifundi,Adeni,NA,20/12/2014,20-Dec-14,2,0,Adeni,Kifundi,Micheweni,Pemba
Morogoro,Morogoro urban,Mazimbu,Airport,NA,07/11/2016,07-Nov-16,10,6,Airport,Mazimbu,Morogoro Urban,Morogoro
Dar Es Salaam,Kinondoni,Mikocheni,All  h mwinyi ,"Marina Mbando, Costantine Makali, Reginald Minja  ",21/11/2016,21-Nov-16,9,5,Ally Hassan Mwinyi,Mikocheni,Kinondoni,Dar-es-salaam
Dar-es-salaam,Ilala,Segerea,Amani,Adam Hussein,18/06/2015,18-Jun-15,82,0,Amani,Segerea,Ilala,Dar-es-salaam
Dar-es-salaam,Ilala,Segerea,Amani,Naomimasalu,10/04/2013,10-Apr-13,111,0,Amani,Segerea,Ilala,Dar-es-salaam
Lindi,Lindi urban,Makonde,Amani,NA,04/11/2016,04-Nov-16,5,6,Amani,Makonde,Lindi Urban,Lindi
Lindi,Lindi urban,Makonde,Makonde,NA,02/11/2016,02-Nov-16,3,2,Amani,Makonde,Lindi Urban,Lindi
Lindi,Lindi urban,Makonde,Amani,NA,08/09/2015,08-Sep-15,2,0,Amani,Makonde,Lindi Urban,Lindi
lindi,Lindi urban,Makonde,Amani na Sheikh Badi,Dativa kyssima,26/06/2012,26-Jun-12,12,0,Amani,Makonde,Lindi Urban,Lindi
Morogoro,Morogoro urban,Mji Mkuu,Mji mkuu,Grace,09/02/2013,09-Feb-13,35,9,Amani,Mji Mkuu,Morogoro Urban,Morogoro
Mtwara,Nanyumbu,Sengenya  ,Amani,NA,08/11/2016,08-Nov-16,1,2,Amani,Sengenya,Nanyumbu,Mtwara
Mtwara,Nanyumbu,Sengenya  ,Amani,NA,28/08/2015,28-Aug-15,1,2,Amani,Sengenya,Nanyumbu,Mtwara
Mtwara,Newala,Mkunya,Amani,NA,01/11/2016,01-Dec-16,0,0,Amani,Mcholi I,Newala,Mtwara
Mtwara,Newala,Mcholi I,AMANI,VALERIAN MKUNDI,05/03/2011,05-Mar-11,1,0,Amani,Mcholi I,Newala,Mtwara
Lindi,Lindi Urban,Makonde,Amani,JAQUECLINE E. SANDY,29/06/2014,29-Jun-14,0,0,Amani,Makonde,Lindi Urban,Lindi
Mtwara,Nanyumbu,Sengenya,Amani,Juma Mnali,17/06/2014,17-Jun-14,27,8,Amani,Sengenya,Nanyumbu,Mtwara
Mtwara,Newala,Mcholi I,Amani,Shinje Ngalula,30/07/2014,30-Jun-14,0,0,Amani,Mcholi I,Newala,Mtwara
