Month,MeanCov1,MeanCovSTZ,VacMonth,VacDogs,MeanCov
1,0,0,01/01/2010,0,0
2,0,0,01/02/2010,0,0
3,0,0,01/03/2010,0,0
4,0.01,1,01/04/2010,2469,1.1762296
5,0.03,3,01/05/2010,3642,2.8179507
6,0.03,3,01/06/2010,0,2.6021159
7,0.06,6,01/07/2010,17025,10.4673796
8,0.06,6,01/08/2010,0,9.5764271
9,0.05,5,01/09/2010,0,8.7630364
10,0.05,5,01/10/2010,0,8.0246376
11,0.04,4,01/11/2010,0,7.352083
12,0.04,4,01/12/2010,0,6.7372998
13,0.04,4,01/01/2011,0,6.1773036
14,0.09,9,01/02/2011,13950,12.2423929
15,0.12,12,01/03/2011,8570,15.2471972
16,0.11,11,01/04/2011,78,13.9518427
17,0.1,10,01/05/2011,544,12.7748655
18,0.1,10,01/06/2011,595,11.9835317
19,0.09,9,01/07/2011,0,10.9866186
20,0.08,8,01/08/2011,0,10.0763533
21,0.09,9,01/09/2011,7629,12.553158
22,0.17,17,01/10/2011,32177,25.062259
23,0.16,16,01/11/2011,0,22.9141855
24,0.14,14,01/12/2011,0,20.9698273
25,0.13,13,01/01/2012,0,19.2056944
26,0.14,14,01/02/2012,5688,20.030802
27,0.13,13,01/03/2012,0,18.3454795
28,0.12,12,01/04/2012,0,16.8098202
29,0.11,11,01/05/2012,0,15.4102975
30,0.17,17,01/06/2012,21734,22.637989
31,0.17,17,01/07/2012,2337,21.6160003
32,0.16,16,01/08/2012,0,19.87366
33,0.15,15,01/09/2012,1110,18.744306
34,0.14,14,01/10/2012,0,17.2315986
35,0.13,13,01/11/2012,0,15.8472255
36,0.12,12,01/12/2012,0,14.5727096
37,0.11,11,01/01/2013,0,13.4055195
38,0.17,17,01/02/2013,17959,20.3448559
39,0.19,19,01/03/2013,8406,21.6091011
40,0.19,19,01/04/2013,10234,24.6930185
41,0.18,18,01/05/2013,0,22.7500042
42,0.17,17,01/06/2013,0,20.9635489
43,0.15,15,01/07/2013,0,19.3199321
44,0.14,14,01/08/2013,0,17.8061505
45,0.13,13,01/09/2013,0,16.4166758
46,0.12,12,01/10/2013,0,15.134692
47,0.15,15,01/11/2013,9587,17.279849
48,0.16,16,01/12/2013,5608,18.3721368
49,0.15,15,01/01/2014,0,16.9077127
50,0.14,14,01/02/2014,0,15.5593589
51,0.13,13,01/03/2014,0,14.319984
52,0.12,12,01/04/2014,0,13.1770451
53,0.11,11,01/05/2014,0,12.1241056
54,0.17,17,01/06/2014,11352,16.184291
55,0.17,17,01/07/2014,4182,16.7336379
56,0.16,16,01/08/2014,0,15.371719
57,0.15,15,01/09/2014,540,14.3612797
58,0.13,13,01/10/2014,0,13.1847975
59,0.12,12,01/11/2014,0,12.1000957
60,0.36,36,01/12/2014,41179,27.5331641
61,0.35,35,01/01/2015,18806,33.7038861
62,0.33,33,01/02/2015,3903,32.6138134
63,0.3,30,01/03/2015,0,29.9983925
64,0.27,27,01/04/2015,0,27.5877997
65,0.25,25,01/05/2015,0,25.3552169
66,0.25,25,01/06/2015,4218,25.1465955
67,0.23,23,01/07/2015,0,23.1031622
68,0.22,22,01/08/2015,3798,22.6565921
69,0.26,26,01/09/2015,14050,26.4789057
70,0.24,24,01/10/2015,525,24.5120956
71,0.22,22,01/11/2015,0,22.5307572
72,0.2,20,01/12/2015,0,20.7038065
73,0.18,18,01/01/2016,0,19.0183118
74,0.17,17,01/02/2016,0,17.4641579
75,0.16,16,01/03/2016,0,16.0286071
76,0.14,14,01/04/2016,0,14.7112877
77,0.13,13,01/05/2016,0,13.4927529
78,0.15,15,01/06/2016,0,12.3720838
79,0.13,13,01/07/2016,0,11.3367771
80,0.12,12,01/08/2016,0,10.3858883
81,0.12,12,01/09/2016,2112,9.5116863
82,0.11,11,01/10/2016,0,8.7103181
83,0.3,30,01/11/2016,56658,30.7613819
84,0.36,36,01/12/2016,20150,37.1818332
85,0.35,35,01/01/2017,4419,36.1055683
