Region,District,vvrid,vvid,round,N_vvid,Dist_Area,Area_kmsq,Population,dist_km,vdogs,v_mean_date,v_mean_date,season_with_NA,season,Correct_District,CategoryVax,Category,nocollars,collars,tdogs,dog_vill_est,Pop2012,HH_Livestk_Keepers,Gr,TotalHH,Vaccines_vials,Cost,Nvaccinators
Coast,kibaha,kibaha_bokomnemela_mkalambati_3,kibaha_bokomnemela_mkalambati,3,50,1500.829629,3.808181073,236,8.32,53,12/12/2013,12-Dec,wet,wet,Kibaha,Rural,rural,0,0,0,119,70209,4771,3,16892,500,10225100,25
Lindi,kilwa,kilwa_kikole_kikole_3,kilwa_kikole_kikole,3,100,14545.39353,220.1701083,1490,52.809,24,14/07/2014,14-Jul,dry,dry,Kilwa,Rural,rural,0,0,0,11,190744,20507,1,42596,496,7949200,29
Lindi,kilwa,kilwa_mandawa_kiwawa_3,kilwa_mandawa_kiwawa,3,100,14545.39353,255.2377093,1771,38.359,1,14/07/2014,14-Jul,dry,dry,Kilwa,Rural,rural,0,0,0,83,190744,20507,1,42596,496,7949200,29
Lindi,kilwa,kilwa_mandawa_mavuji_3,kilwa_mandawa_mavuji,3,100,14545.39353,273.2413308,2122,20.801,5,12/07/2014,12-Jul,dry,dry,Kilwa,Rural,rural,0,0,0,67,190744,20507,1,42596,496,7949200,29
Lindi,kilwa,kilwa_masoko_kisiwani_3,kilwa_masoko_kisiwani,3,100,14545.39353,101.1298054,812,7.547,3,18/07/2014,18-Jul,dry,dry,Kilwa,Rural,rural,0,0,0,11,190744,20507,1,42596,496,7949200,29
Lindi,lindirural,lindirural_majengo_majengob_3,lindirural_majengo_majengob,3,133,5971.498478,8.983607359,1920,48.4,NA,NA,NA,NA,dry,Lindi Rural,Rural,rural,0,0,0,30,194143,21931,-1,52821,290,8550800,69
Lindi,lindirural,lindirural_mipingo_mipingo_3,lindirural_mipingo_mipingo,3,133,5971.498478,136.6521043,671,58.978,16,23/06/2014,23-Jun,dry,dry,Lindi Rural,Rural,rural,0,0,0,27,194143,21931,-1,52821,290,8550800,69
Lindi,lindirural,lindirural_mtama_mvuleni_3,lindirural_mtama_mvuleni,3,133,5971.498478,13.88105342,1329,48.1,2,26/06/2014,26-Jun,dry,dry,Lindi Rural,Rural,rural,0,0,0,6,194143,21931,-1,52821,290,8550800,69
Lindi,lindirural,lindirural_nahukahuka_mbawala_3,lindirural_nahukahuka_mbawala,3,133,5971.498478,14.92846954,776,57.03,4,30/06/2014,30-Jun,dry,dry,Lindi Rural,Rural,rural,0,0,0,15,194143,21931,-1,52821,290,8550800,69
Lindi,lindiurban,lindiurban_mikumbi_3,lindiurban_mikumbi,3,18,1062.893932,0.302202595,2006,0.198333333,5,01/06/2014,01-Jun,dry,dry,Lindi Urban,Urban,urban,0,0,0,45,78841,6500,7,22344,150,6784600,19
Lindi,liwale,liwale_kichonda_nyera_3,liwale_kichonda_nyera,3,76,15633.97819,10.05218191,670,15.718,9,02/07/2014,02-Jul,dry,dry,Liwale,Rural,rural,0,0,0,12,91380,10582,2,21084,140,7214900,25
Lindi,liwale,liwale_mangirikiti_mkonganage_3,liwale_mangirikiti_mkonganage,3,76,15633.97819,11.79228292,1108,12.741,17,04/07/2014,04-Jul,dry,dry,Liwale,Rural,rural,0,0,0,36,91380,10582,2,21084,140,7214900,25
Lindi,liwale,liwale_mihumo_likombora_3,liwale_mihumo_likombora,3,76,15633.97819,33.12883812,1523,14.243,13,01/07/2014,01-Jul,dry,dry,Liwale,Rural,rural,0,0,0,15,91380,10582,2,21084,140,7214900,25
Lindi,liwale,liwale_mihumo_turuki_3,liwale_mihumo_turuki,3,76,15633.97819,29.9353991,813,12.312,5,01/07/2014,01-Jul,dry,dry,Liwale,Rural,rural,0,0,0,24,91380,10582,2,21084,140,7214900,25
Lindi,liwale,liwale_mkutano_kikulyungu_3,liwale_mkutano_kikulyungu,3,76,15633.97819,10727.90267,1005,122.404,0,01/07/2014,01-Jul,dry,dry,Liwale,Rural,rural,0,0,0,33,91380,10582,2,21084,140,7214900,25
Lindi,liwale,liwale_mkutano_mkutano_3,liwale_mkutano_mkutano,3,76,15633.97819,507.2441596,609,41.522,0,01/07/2014,01-Jul,dry,dry,Liwale,Rural,rural,0,0,0,17,91380,10582,2,21084,140,7214900,25
Mtwara,masasi,masasi_chiungutwa_kalipinde_3,masasi_chiungutwa_kalipinde,3,147,4003.146891,6.872441151,634,29.489,0,24/06/2014,24-Jun,dry,dry,Masasi,Rural,rural,0,0,0,14,247993,30565,1,67872,330,5690800,25
Mtwara,masasi,masasi_chiwale_nanyindwa_3,masasi_chiwale_nanyindwa,3,147,4003.146891,25.14172485,1626,15.742,0,21/06/2014,21-Jun,dry,dry,Masasi,Rural,rural,0,0,0,44,247993,30565,1,67872,330,5690800,25
Mtwara,masasi,masasi_lipumburu_nantona_3,masasi_lipumburu_nantona,3,147,4003.146891,96.30399656,447,35.908,10,18/06/2014,18-Jun,dry,dry,Masasi,Rural,rural,0,0,0,17,247993,30565,1,67872,330,5690800,25
Mtwara,masasi,masasi_mchauru_maparawe_3,masasi_mchauru_maparawe,3,147,4003.146891,25.40597235,1256,55.935,1,19/06/2014,19-Jun,dry,dry,Masasi,Rural,rural,0,0,0,27,247993,30565,1,67872,330,5690800,25
Coast,mkuranga,mkuranga_kimanzichana_kilimahewakaskazini_3,mkuranga_kimanzichana_kilimahewakaskazini,3,116,2825.378544,16.04462752,2317,33.096,9,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,53,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kimanzichana_matanzi_3,mkuranga_kimanzichana_matanzi,3,116,2825.378544,12.07342404,1273,29.63,49,16/11/2013,16-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,81,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kimanzichana_nyangunguti_3,mkuranga_kimanzichana_nyangunguti,3,116,2825.378544,6.289499047,840,26.388,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,19,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kisiju_kalole_3,mkuranga_kisiju_kalole,3,116,2825.378544,12.14171492,1114,32.251,10,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,25,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kisiju_koma_3,mkuranga_kisiju_koma,3,116,2825.378544,5.806370858,721,57.247,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,16,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kisiju_kwale_3,mkuranga_kisiju_kwale,3,116,2825.378544,6.339592301,488,42.849,NA,NA,NA,NA,wet,Mkuranga,Rural,rural,0,0,0,11,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_kitomondo_mitaranda_3,mkuranga_kitomondo_mitaranda,3,116,2825.378544,11.63914467,1135,19.474,3,18/11/2013,18-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,26,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mbezi_mihekela_3,mkuranga_mbezi_mihekela,3,116,2825.378544,13.90987299,671,14.804,2,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,15,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mbezi_mponga_3,mkuranga_mbezi_mponga,3,116,2825.378544,12.93057961,681,15.053,2,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,15,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mkamba_lupondo_3,mkuranga_mkamba_lupondo,3,116,2825.378544,23.1770206,2070,39.261,14,15/11/2013,15-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,47,222921,17610,2,51101,300,9803700,55
Coast,mkuranga,mkuranga_mkamba_vianzi_3,mkuranga_mkamba_vianzi,3,116,2825.378544,58.17512529,2040,49.166,18,16/11/2013,16-Nov,wet,wet,Mkuranga,Rural,rural,0,0,0,194,222921,17610,2,51101,300,9803700,55
