,District,Region,population_both,population_F,population_M,area_km2,AnnualGrowthrate,HumanPop2011_proj,HumanPop2012,HumanPop2013_proj,HumanPop2014_proj,HumanPop2015_proj,HumanPop2016_proj
1,Arusha,Arusha,364456,189882,174574,1241.39003,NA,NA,NA,NA,NA,NA,NA
2,Arusha Urban,Arusha,365990,190797,175193,267.947907,NA,NA,NA,NA,NA,NA,NA
3,Babati,Manyara,312392,153588,158804,5597.583992,NA,NA,NA,NA,NA,NA,NA
4,Babati Urban,Manyara,93108,45795,47313,473.521882,NA,NA,NA,NA,NA,NA,NA
5,Bagamoyo,Pwani,311740,157542,154198,8558.391247,3.1,302367,311740,321404,331367,341640,352231
6,Bahi,Dodoma,221645,115670,105975,5695.687652,NA,NA,NA,NA,NA,NA,NA
7,Bariadi,Simiyu,400521,209448,191073,5495.569009,NA,NA,NA,NA,NA,NA,NA
8,Biharamulo,Kagera,323486,162914,160572,7480.837844,NA,NA,NA,NA,NA,NA,NA
9,Buhigwe,Kigoma,254342,133652,120690,1515.444814,NA,NA,NA,NA,NA,NA,NA
10,Bukoba,Kagera,289697,148555,141142,1618.888942,NA,NA,NA,NA,NA,NA,NA
11,Bukoba Urban,Kagera,128796,66275,62521,83.284637,NA,NA,NA,NA,NA,NA,NA
12,Bukombe,Geita,224542,113685,110857,8089.422038,NA,NA,NA,NA,NA,NA,NA
13,Bunda,Mara,335061,172820,162241,3096.80564,NA,NA,NA,NA,NA,NA,NA
14,Busega,Simiyu,194183,99953,94230,1330.270514,NA,NA,NA,NA,NA,NA,NA
15,Butiama,Mara,241732,124603,117129,2169.743963,NA,NA,NA,NA,NA,NA,NA
16,Chamwino,Dodoma,330543,171661,158882,9244.029053,NA,NA,NA,NA,NA,NA,NA
17,Chato,Geita,365127,183759,181368,3081.874913,NA,NA,NA,NA,NA,NA,NA
18,Chemba,Dodoma,235711,118126,117585,7351.068443,NA,NA,NA,NA,NA,NA,NA
19,Chunya,Mbeya,290478,145058,145420,29198.5188,NA,NA,NA,NA,NA,NA,NA
20,Dodoma Urban,Dodoma,410956,211469,199487,2637.25144,NA,NA,NA,NA,NA,NA,NA
21,Gairo,Morogoro,193011,99805,93206,1994.789649,3.1,187208,193011,198994,205163,211523,218080
22,Geita,Geita,800504,403494,397010,4719.182816,NA,NA,NA,NA,NA,NA,NA
23,Hai,Kilimanjaro,210533,108076,102457,905.776624,NA,NA,NA,NA,NA,NA,NA
24,Hanang,Manyara,275990,135778,140212,3697.551245,NA,NA,NA,NA,NA,NA,NA
25,Handeni,Tanga,276646,139428,137218,6590.866828,NA,NA,NA,NA,NA,NA,NA
26,Handeni Township Authority,Tanga,79056,40388,38668,845.058868,NA,NA,NA,NA,NA,NA,NA
27,Igunga,Tabora,394986,201699,193287,7105.10924,NA,NA,NA,NA,NA,NA,NA
28,Ikungi,Singida,272550,136539,136011,8931.872629,NA,NA,NA,NA,NA,NA,NA
29,Ilala,Dar-es-salaam,1220611,624683,595928,370.330138,6.5,1146114,1220611,1299951,1384448,1474437,1570275
30,Ileje,Mbeya,124451,65988,58463,1931.722807,NA,NA,NA,NA,NA,NA,NA
31,Ilemela,Mwanza,343001,178283,164718,255.125454,NA,NA,NA,NA,NA,NA,NA
32,Iramba,Singida,236282,119285,116997,4547.841895,NA,NA,NA,NA,NA,NA,NA
