Region,District,Ward,Village,Date,Date2,Start time,End time,Transport used,Dogs without collars,Dogs with collars,Totalcounts,Comments,Correct_Village,Correct_Ward,Correct_District,Correct_Region
Pemba,Chakechake,Mgelema,Banda la karafuu,13/11/2013,13-Nov-13,00:00,00:00,Foot,1,3,4,NA,NA,Mgelema,Chake Chake,Kusini Pemba
Pemba,Chakechake,Ziwani,Barawa,12/11/2013,12-Nov-13,00:00,00:00,Bicycle,7,5,12,NA,NA,Ziwani,Chake Chake,Kusini Pemba
Pemba,Chakechake,Shungi,Bomani,13/11/2013,13-Nov-13,00:00,00:00,Foot,9,3,12,NA,Shungi,Shungi,Chake Chake,Kusini Pemba
Pemba,Chakechake,Chonga,Chonga,14/11/2013,14-Nov-13,00:00,00:00,Foot,8,5,13,NA,Chonga,Chonga,Chake Chake,Kusini Pemba
Pemba,Chakechake,Mvumoni,Furaha,13/11/2013,13-Nov-13,00:00,00:00,Bicycle,6,2,8,NA,Furaha,Mvumoni,Chake Chake,Kusini Pemba
Pemba,Chakechake,Mfikiwa,Fuweni,13/11/2013,13-Nov-13,00:00,00:00,Bicycle,5,0,5,NA,NA,Mfikiwa,Chake Chake,Kusini Pemba
Pemba,Chakechake,Kibokoni,Kibokoni,12/11/2013,12-Nov-13,00:00,00:00,Bicycle,1,0,1,NA,Kibokoni,Kibokoni,Chake Chake,Kusini Pemba
Pemba,Chakechake,Mgogoni,Kichangani,13/11/2013,13-Nov-13,00:00,00:00,Bicycle,2,0,2,NA,Kichangani,Mgogoni,Chake Chake,Kusini Pemba
Pemba,Chakechake,Michungwani,Kijemeni,12/11/2013,12-Nov-13,00:00,00:00,Bicycle,2,0,2,NA,NA,Michungwani,Chake Chake,Kusini Pemba
Pemba,Chakechake,Dodo,Kitokame,12/11/2013,12-Nov-13,00:00,00:00,Bicycle,2,0,2,NA,NA,Dodo,Chake Chake,Kusini Pemba
Pemba,Chakechake,Kilindi,Kiwanja cha mpira,13/11/2013,13-Nov-13,00:00,00:00,Foot,2,2,4,NA,NA,Kilindi,Chake Chake,Kusini Pemba
Pemba,Chakechake,Wara,Machomanne,13/11/2013,13-Nov-13,00:00,00:00,Foot,0,9,9,NA,Machomanne,Wara,Chake Chake,Kusini Pemba
Pemba,Chakechake,Wawi,Matrekta,12/11/2013,12-Nov-13,00:00,00:00,Foot,3,5,8,NA,NA,Wawi,Chake Chake,Kusini Pemba
